timestamp,x_sgp4,y_sgp4,z_sgp4,vx,vy,vz,satellite,x_cpf,y_cpf,z_cpf,dx,dy,dz,residual
2026-07-11 00:00:00,-5119.847282545135,-3737.3118633204417,4654.209579451903,1.2947075204746554,-6.083681351435713,-3.4653324530735494,AJISAI (EGS),1875.497685,-6054.8083799999995,4654.367848,6995.344967545136,-2317.4965166795578,0.15826854809711222,7369.236143918165
2026-07-11 00:04:00,-4691.236897280707,-5098.109166975384,3719.461103863274,2.263137578246694,-5.211529950656205,-4.29364382676392,AJISAI (EGS),3194.666344,-6147.400078,3719.624561,7885.903241280707,-1049.2909110246155,0.16345713672626516,7955.405795653586
2026-07-11 00:08:00,-4042.0069261834597,-6219.140151273791,2609.42577263108,3.125919345551821,-4.093439513978195,-4.9202248747092545,AJISAI (EGS),4365.565048,-5996.307734,2609.586323,8407.57197418346,222.83241727379118,0.16055036892021235,8410.524407731045
2026-07-11 00:12:00,-3202.5394918681563,-7047.454820136581,1376.3205355701784,3.8421399153590023,-2.781833314469855,-5.315106220424079,AJISAI (EGS),5341.833017,-5602.36647,1376.469431,8544.372508868157,1445.0883501365806,0.14889542982155035,8665.713007720266
2026-07-11 00:16:00,-2212.254265389384,-7543.872351780603,78.26574362634886,4.377720133075122,-1.3385780782240944,-5.459282443516133,AJISAI (EGS),6085.976829,-4976.3720140000005,78.394479,8298.231094389384,2567.5003377806024,0.12873537365113918,8686.35120732331
2026-07-11 00:20:00,-1117.7520708928362,-7684.900133380723,-1223.4818286598336,4.707154583413231,0.16799382765343251,-5.345743172521313,AJISAI (EGS),6570.843927,-4138.938798,-1223.379999,7688.595997892836,3545.9613353807226,0.10182965983358372,8466.897319632386
2026-07-11 00:24:00,29.40915288878408,-7463.886351289571,-2467.468700370072,4.814814791274971,1.6664606520341645,-4.979869503510795,AJISAI (EGS),6780.610519000001,-3119.908562,-2467.3979870000003,6751.201366111217,4343.977789289571,0.07071337007164402,8028.004915582915
2026-07-11 00:28:00,1175.188489479677,-6891.336024754568,-3594.9986161414954,4.695717515480004,3.085866547647853,-4.3791545729328005,AJISAI (EGS),6711.234361,-1957.3205719999999,-3594.961554,5536.045871520323,4934.015452754568,0.03706214149542575,7415.680169813939
2026-07-11 00:32:00,2265.6512129837342,-5994.37619676213,-4552.940268693411,4.355712507341233,4.359216565870248,-3.5722740572503877,AJISAI (EGS),6370.361166000001,-695.989617,-4552.938073,4104.709953016267,5298.38657976213,0.0021956934106128756,6702.3536274206745
2026-07-11 00:36:00,3249.5339695671255,-4815.411888450076,-5296.2420454446565,3.8111019086616302,5.426691477317938,-2.5975926017410518,AJISAI (EGS),5776.713224,614.240683,-5296.274595,2527.1792544328746,5429.652571450076,-0.03254955534339388,5988.970030961066
2026-07-11 00:40:00,4080.656017094128,-3410.061630198898,-5790.032851063431,3.0877516998761445,6.238413421230802,-1.501231214847303,AJISAI (EGS),4959.0139850000005,1920.489338,-5790.098897,878.3579679058726,5330.550968198898,-0.0660459365690258,5402.433372908175
